feedback_id,user_id,feedback_timestamp,feedback_text,rating
F17570,U89996,2023-04-06 19:52:48,Outstanding performance!,4.3
F45873,U97851,2022-11-25 04:20:34,Very satisfied with the product.,4.9
F83529,U62244,2024-02-14 03:13:28,Excellent service! Keep up the good work!,4.1
F12363,U99337,2022-09-27 09:16:51,Excellent service! Keep up the good work!,4.4
F15066,U94783,2023-12-11 20:10:34,Outstanding performance!,4.4
F77452,U70124,2021-07-17 14:43:29,Outstanding performance!,4.9
F27533,U49529,2023-04-26 08:04:12,Impressed with the quality of service.,4.2
F42439,U13547,2022-07-06 22:30:03,Smooth transaction process.,4.7
F8979,U75896,2021-06-21 15:18:04,Excellent service! Keep up the good work!,4.2
F90258,U33584,2021-07-07 14:57:29,Highly recommend!,5.0
